"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"5N9C9VID","journalArticle","2020","Schneider, Jodi; Ye, Di; Hill, Alison M.; Whitehorn, Ashley S.","Continued post-retraction citation of a fraudulent clinical trial report, 11 years after it was retracted for falsifying data.","Scientometrics","","01389130","","http://search.ebscohost.com/login.aspx?direct=true&db=lxh&AN=147251388&site=ehost-live","This paper presents a case study of long-term post-retraction citation to falsified clinical trial data (Matsuyama et al. in Chest 128(6):3817–3827, 2005. https://doi.org/10.1378/chest.128.6.3817), demonstrating problems with how the current digital library environment communicates retraction status. Eleven years after its retraction, the paper continues to be cited positively and uncritically to support a medical nutrition intervention, without mention of its 2008 retraction for falsifying data. To date no high quality clinical trials reporting on the efficacy of omega-3 fatty acids on reducing inflammatory markers have been published. Our paper uses network analysis, citation context analysis, and retraction status visibility analysis to illustrate the potential for extended propagation of misinformation over a citation network, updating and extending a case study of the first 6 years of post-retraction citation (Fulton et al. in Publications 3(1):7–26, 2015. https://doi.org/10.3390/publications3010017). The current study covers 148 direct citations from 2006 through 2019 and their 2542 second-generation citations and assesses retraction status visibility of the case study paper and its retraction notice on 12 digital platforms as of 2020. The retraction is not mentioned in 96% (107/112) of direct post-retraction citations for which we were able to conduct citation context analysis. Over 41% (44/107) of direct post-retraction citations that do not mention the retraction describe the case study paper in detail, giving a risk of diffusing misinformation from the case paper. We analyze 152 second-generation citations to the most recent 35 direct citations (2010–2019) that do not mention the retraction but do mention methods or results of the case paper, finding 23 possible diffusions of misinformation from these non-direct citations to the case paper. Link resolving errors from databases show a significant challenge in a reader reaching the retraction notice via a database search. Only 1/8 databases (and 1/9 database records) consistently resolved the retraction notice to its full-text correctly in our tests. Although limited to evaluation of a single case (N = 1), this work demonstrates how retracted research can continue to spread and how the current information environment contributes to this problem. [ABSTRACT FROM AUTHOR]","2020-12","2020-12-18 00:00:38","2020-12-18 00:00:38","","2877-2913","","3","125","","Scientometrics","","","","","","","","","","","lxh","","EBSCOhost","","","","","","62-07; 68U35; 91D30; Case study; Citation analysis; Citation context analysis; Citation networks; Clinical trial registries; Database searching; Diffusion studies; Link resolver errors; Misinformation; Omega-3 fatty acids; Post-retraction citation; Problematic citation; Problems with bibliographic libraries; Retraction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SAKGDQMM","journalArticle","2020","Herrero-Diz, Paula; Pérez-Escolar, Marta; Sánchez, Juan F. Plaza","Gender disinformation: analysing hoaxes on Maldito Feminismo.","Desinformación de género: análisis de los bulos de Maldito Feminismo.","","16978293","","http://search.ebscohost.com/login.aspx?direct=true&db=cms&AN=144607636&site=ehost-live","Information disorder (satire or parody, false connections, misleading content, false context, imposter content, manipulated content or fabricated content) is a social problem that is causing collective damages. Women, in particular, are becoming victims of hostilities on the digital scenario. This problem is currently known as ""digital sexism"" and ""gender disinformation"". In this context, verification journalism, a trendy format, aims to reduce the effects of hoaxes introducing the fact-checking process in its professional routines. However, this is still a minority task. In order to contribute to the study of the disinformation phenomenon in relation to online messages about women, this research has developed a systematic tool to classify hoaxes that have been refuted by the platform Maldita.es, specifically, on its sections Maldito Feminismo (N=71). This tool, inspired by the taxonomies created by Derakhshan & Wardle (2017), Tandoc, Lim & Ling (2018) and Molina, Sundar, Le & Lee (2019), allows you to categorize fake news according to the type of information disorder, the agent, the message and the interpreter. The results of this study (internal validity) show that hoaxes detected by Maldito Feminismo are misleading content that expect to damage feminism (this is the main topic of fake news) and have a political purpose. These information disorders are displayed in text format and are mainly created and distributed on social networks. Moreover, although users collaborate and participate detecting and reporting hoaxes, the platform Maldito Feminismo identifies, locates and denounces most of the fake news. (English) [ABSTRACT FROM AUTHOR]","2020-07","2020-12-18 00:00:38","2020-12-18 00:00:38","","188-215","","2","18","","Icono 14","","","","","","","","","","","cms","","EBSCOhost","","Publisher: Grupo Icono 14","","","","Bulo; Calúnias; Desinformação; Desinformación; Disinformation; Fact-checkin; Fake news; Feminis; Feminismo; Gender; Género; Gênero; Hoax; Hoaxes; Noticias falsas; Notícias falsas; Social problems; Verificação; Verificación","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"P9RYHEWK","journalArticle","2020","Wang, Xiaohui; Song, Yunya","Viral misinformation and echo chambers: the diffusion of rumors about genetically modified organisms on social media.","Internet Research","","10662243","","http://search.ebscohost.com/login.aspx?direct=true&db=lxh&AN=145316830&site=ehost-live","Purpose: The spread of rumors on social media has caused increasing concerns about an under-informed or even misinformed public when it comes to scientific issues. However, researchers have rarely investigated their diffusion in non-western contexts. This study aims to systematically examine the content and network structure of rumor-related discussions around genetically modified organisms (GMOs) on Chinese social media. Design/methodology/approach: This study identified 21,837 rumor-related posts of GMOs on Weibo, one of China's most popular social media platforms. An approach combining social network analysis and content analysis was employed to classify user attitudes toward rumors, measure the level of homophily of their attitudes and examine the nature of their interactions. Findings: Though a certain level of homophily existed in the interaction networks, referring to the observed echo chamber effect, Weibo also served as a public forum for GMO discussions in which cross-cutting ties between communities existed. A considerable amount of interactions emerged between the pro- and anti-GMO camps, and most of them involved providing or requesting information, which could mitigate the likelihood of opinion polarization. Moreover, this study revealed the declining role of traditional opinion leaders and pointed toward the need for alternative strategies for efficient fact-checking. Originality/value: In general, the findings of this study suggested that microblogging platforms such as Weibo can function as public forums for discussing GMOs that expose users to ideologically cross-cutting viewpoints. This study stands to provide important insights into the viral processes of scientific rumors on social media. [ABSTRACT FROM AUTHOR]","2020-09","2020-12-18 00:00:39","2020-12-18 00:00:39","","1547-1564","","5","30","","Internet Research","","","","","","","","","","","lxh","","EBSCOhost","","","","","","China; Chinese social media; Comments; Common fallacies; Echo chamber; Forums; Genetically modified organism; Rumor; Social media; Transgenic organisms; Virtual communities","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CHI9VB7B","journalArticle","2020","Hatakka, Niko","Expose, debunk, ridicule, resist! Networked civic monitoring of populist radical right online action in Finland.","Information, Communication & Society","","1369118X","","http://search.ebscohost.com/login.aspx?direct=true&db=lxh&AN=144953143&site=ehost-live","This article analyses civic monitoring that targets online radical right populist anti-immigration activism in Finland to discuss whether outsourcing monitoring to platform users is a feasible means to respond to exclusionary-populist online communication. For several reasons, the widely discussed – and potentially harmful – phenomena related to the emancipation of radical right populist online counterpublics have proved difficult to control. First of all, using exclusionary and antagonistic rhetoric or spreading disinformation is not illegal, which makes policing it ineffective. Second, journalistic scrutiny tends to increase the salience of radical right agendas without significantly curbing their appeal. Third, social media companies have passed down responsibility for monitoring extremism on their platforms to users. As an option, it has been suggested that users could organize to push potentially harmful content to the margins of online publics. The study reveals that the materiality of online anti-immigration action allows it to be monitored by anti-racist activists to a certain extent, and that online action aimed at resisting online radical right activism ranges from civil counter-arguing and pursuing of deliberation to anti-racist hate speech and naming-and-shaming campaigns. There are notable caveats that undermine the efficacy and viability of civic monitoring as a means of watching over radical right populist online action. The main problems are related to the connective and potentially anti-populist nature of the civic monitoring – allowing it to be counter-surveilled and used as fuel for populist online communication – and potential danger and harm to the activists involved. [ABSTRACT FROM AUTHOR]","2020-08","2020-12-18 00:00:39","2020-12-18 00:00:39","","1311-1326","","9","23","","Information, Communication & Society","","","","","","","","","","","lxh","","EBSCOhost","","","","","","activism; Activism; anti-racism; Finland; Hate speech; New right (Politics); Online monitoring systems; Political oratory; populism; radical right; Social media; surveillance","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RYIG8QMC","journalArticle","2020","Kwanda, Febbie Austina; Lin, Trisha T. C.","Fake news practices in Indonesian newsrooms during and after the Palu earthquake: a hierarchy-of-influences approach.","Information, Communication & Society","","1369118X","","http://search.ebscohost.com/login.aspx?direct=true&db=lxh&AN=144282853&site=ehost-live","The viral dissemination of fake news threatens news organizations in Indonesia, with many social media users exhibiting a decrease in their trust of traditional media, as well as limited digital literacy. To investigate fake news during natural disasters, this mixed-methods study examines information patterns and journalistic practices of three news organizations during the 2018 Palu earthquake and tsunami. First, online observations of disaster-related fake news cases on social media provide insights into how fake news was handled by three types of news media. The results show that when fake news concerned factual scientific evidence, news organizations unanimously used the government statements to debunk disinformation. In contrast, political or religious fake news had long lifecycles of polarized debates between pro-government groups and opponents. Using the Hierarchy-of Influences Model, in-depth interviews showed that individual-level journalistic professionalism mattered when tackling fake news reports, with some local practices differing from Western journalism approaches. At the routine level, news professionals treated the government as the authority to debunk controversial, high-risk fake news by presenting news only after official clarifications, while independent media tended to present balanced reports with diverse views. Additionally, interviewees revealed that organizational policies in relation to media types greatly influenced the handling of fake news practices in Indonesian newsrooms. [ABSTRACT FROM AUTHOR]","2020-06","2020-12-18 00:00:39","2020-12-18 00:00:39","","849-866","","6","23","","Information, Communication & Society","","","","","","","","","","","lxh","","EBSCOhost","","","","","","Computer literacy; Crisis communication; Earthquakes; Fake news; hierarchy of influences; Indonesia; natural disaster; news practices; Newsrooms; Press; Sendai Earthquake, Japan, 2011; Tsunamis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4NGX53YK","journalArticle","2020","Morgan-Daniel, Jane; Ansell, Margaret; Adkins, Lauren E.","COVID-19 Patient Education and Consumer Health Information Resources and Services.","Journal of Consumer Health on the Internet","","15398285","","http://search.ebscohost.com/login.aspx?direct=true&db=lxh&AN=145471457&site=ehost-live","The health information needs of providers, patients, and consumers are continually evolving in response to the spread of COVID-19. Information professionals play key roles in counteracting the associated dangerous impact of misinformation, the digital divide, low health literacy, and information overload. Librarians can contribute to the fight against COVID-19 through collating reliable, up-to-date, and inclusive resources; triaging evidence; creating ""stop-gap"" collections; promoting credible sources; and through health literacy training. This column therefore focuses on pandemic information services for patient education and consumer health, while also discussing librarians' dual roles as information providers and community advocates during the time of COVID-19. [ABSTRACT FROM AUTHOR]","2020-07","2020-12-18 00:00:39","2020-12-18 00:00:39","","302-313","","3","24","","Journal of Consumer Health on the Internet","","","","","","","","","","","lxh","","EBSCOhost","","","","","","Books; Consumer health; COVID-19; Health; Health information services; health librarianship; Health literacy; Information needs; Information resources; Information resources management; Interprofessional relations; Medicine information services; Occupational roles; patient education; Patient education; Public health; Video recording","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M3ZE8NM7","journalArticle","2020","Bruns, Axel; Harrington, Stephen; Hurcombe, Edward","'Corona? 5G? or both?': the dynamics of COVID-19/5G conspiracy theories on Facebook.","Media International Australia (8/1/07-current)","","1329878X","","http://search.ebscohost.com/login.aspx?direct=true&db=cms&AN=146378505&site=ehost-live","Focussing in detail on one key component of the infodemic surrounding COVID-19, this article traces the dissemination dynamics of rumours that the pandemic outbreak was somehow related to the rollout of 5G mobile telephony technology in Wuhan and around the world. Drawing on a mixture of quantitative and qualitative methods including time-series analysis, network analysis and in-depth close reading, our analysis shows the dissemination of the rumour on Facebook from its obscure origins in pre-existing conspiracist groups through greater uptake in more diverse communities to substantial amplification by celebrities, sports stars and media outlets. The in-depth tracing of COVID-related mis- and disinformation across social networks offers important new insights into the dynamics of online information dissemination and points to opportunities to slow and stop the spread of false information, or at least to combat it more directly with accurate counterinformation. [ABSTRACT FROM AUTHOR]","2020-11","2020-12-18 00:00:39","2020-12-18 00:00:39","","12-29","","1","177","","Media International Australia (8/1/07-current)","","","","","","","","","","","cms","","EBSCOhost","","","","","","5G; 5G networks; Conspiracy theories; conspiracy theory; coronavirus; COVID-19; COVID-19 pandemic; disinformation; Disinformation; dissemination; Facebook; Facebook (Web resource); Fake news; misinformation; rumours; social media","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QIJ5DGCJ","journalArticle","2020","Harnett, Susan","Health Literacy, Social Media and Pandemic Planning.","Journal of Consumer Health on the Internet","","15398285","","http://search.ebscohost.com/login.aspx?direct=true&db=lxh&AN=144284724&site=ehost-live","The novel coronavirus and resulting global pandemic serves to underscore the importance of health literacy. As more Americans are urged to self-isolate as a way of combating the spread of the virus, they turn to the internet and social networks for information, support, and community. However, previous estimates of limited or low health literacy of Americans may mean that many who use the internet for information may not be accessing or interpreting information correctly and more disturbingly, may be facilitating the spread of misinformation. Health literacy must be established as an integral part of the public health response to disaster planning. [ABSTRACT FROM AUTHOR]","2020-04","2020-12-18 00:00:39","2020-12-18 00:00:39","","157-162","","2","24","","Journal of Consumer Health on the Internet","","","","","","","","","","","lxh","","EBSCOhost","","","","","","COVID-19; Disaster; Emergency management; Epidemics; Health information services; health literacy; Health literacy; Health promotion; Medicine information services; pandemic planning; public health; Public health; social media; Social media; Telemedicine; United States","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D9L8JHVD","journalArticle","2020","Vraga, Emily K.; Kim, Sojung Claire; Cook, John; Bode, Leticia","Testing the Effectiveness of Correction Placement and Type on Instagram.","International Journal of Press/Politics","","19401612","","http://search.ebscohost.com/login.aspx?direct=true&db=cms&AN=145184183&site=ehost-live","Despite concerns about misinformation across social media platforms, little attention has been paid to how to correct misinformation on visual platforms like Instagram. This study uses an experimental design on a national sample to test two features of user-based correction strategies on Instagram for a divisive issue on which misinformation abounds: the issue of climate change. First, we unite the inoculation and correction literature to test the efficacy of prebunking corrections that come before exposure to the misinformation versus debunking strategies that occur after exposure. Second, we compare fact-focused corrections that provide accurate information to rebut the misinformation against logic-focused corrections that highlight the rhetorical flaw underpinning the misinformation. Our findings suggest that these strategies intersect to reduce misperceptions. Logic-focused corrections effectively reduce misperceptions regardless of their placement before or after the misinformation, and appear to function in part by reducing perceptions of the credibility of the misinformation post. Fact-focused corrections only reduce misperceptions when they occur after the misinformation, but are seen as more credible than logic-focused corrections. We discuss the implications of our findings for understanding the theoretical mechanism by which correction can occur and the practical guidelines to best correct misinformation in visual social media spaces. [ABSTRACT FROM AUTHOR]","2020-10","2020-12-18 00:00:39","2020-12-18 00:00:39","","632-652","","4","25","","International Journal of Press/Politics","","","","","","","","","","","cms","","EBSCOhost","","","","","","climate change; Climate change; climate change misinformation; Common fallacies; correction; inoculation; Instagram; misinformation; National competency-based educational tests; Social media; Social space","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FZYHQ5CQ","journalArticle","2020","Manganello, Jennifer; Bleakley, Amy; Schumacher, Patrick","Pandemics and PSAs: Rapidly Changing Information in a New Media Landscape.","Health Communication","","10410236","","http://search.ebscohost.com/login.aspx?direct=true&db=cms&AN=147042217&site=ehost-live","The COVID-19 pandemic has brought into focus a shift in the communication of health-related information. Traditionally, public service announcements (PSAs) consisted of video or radio messages, posters, or billboards created by government agencies and health organizations to provide information about health topics. However, the widespread use of the internet and the growth of social media has changed PSA creation and dissemination in many ways. Increasingly, a variety of actors, including non-official sources and lay persons, have been using social media to disseminate PSAs or PSA-like content. Audiences are larger and more engaged with content, and users have the novel ability to interact with PSAs through shares, likes, or comments. While social media for health communication has many advantages, there are also a number of disadvantages including misinformation, conspiracy theories, bots, and trolls. Credibility of different sources has also become a topic of debate. An ongoing challenge during the pandemic has been reaching audiences in a crowded online environment, establishing authority as a trusted source, and countering misinformation. In this paper, we discuss how the media landscape is changing PSAs and the implications of these changes in the context of pandemics. [ABSTRACT FROM AUTHOR]","2020-12","2020-12-18 00:00:39","2020-12-18 00:00:39","","1711-1714","","14","35","","Health Communication","","","","","","","","","","","cms","","EBSCOhost","","","","","","Communication; COVID-19; COVID-19 pandemic; Disinformation; Mass media; Public service advertising; Social media","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
