Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
"Manganello J., Bleakley A., Schumacher P.","6602934047;6602156363;57219664316;","Pandemics and PSAs: Rapidly Changing Information in a New Media Landscape",2020,"Health Communication","35","14",,"1711","1714",,,"10.1080/10410236.2020.1839192","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85094641773&doi=10.1080%2f10410236.2020.1839192&partnerID=40&md5=f9430734f043d2cef739a9fdcf37c377","Department of Health Policy, Management, and Behavior, University at Albany, School of Public Health, United States; Department of Communication, University of Delaware, United States","Manganello, J., Department of Health Policy, Management, and Behavior, University at Albany, School of Public Health, United States; Bleakley, A., Department of Communication, University of Delaware, United States; Schumacher, P., Department of Health Policy, Management, and Behavior, University at Albany, School of Public Health, United States","The COVID-19 pandemic has brought into focus a shift in the communication of health-related information. Traditionally, public service announcements (PSAs) consisted of video or radio messages, posters, or billboards created by government agencies and health organizations to provide information about health topics. However, the widespread use of the internet and the growth of social media has changed PSA creation and dissemination in many ways. Increasingly, a variety of actors, including non-official sources and lay persons, have been using social media to disseminate PSAs or PSA-like content. Audiences are larger and more engaged with content, and users have the novel ability to interact with PSAs through shares, likes, or comments. While social media for health communication has many advantages, there are also a number of disadvantages including misinformation, conspiracy theories, bots, and trolls. Credibility of different sources has also become a topic of debate. An ongoing challenge during the pandemic has been reaching audiences in a crowded online environment, establishing authority as a trusted source, and countering misinformation. In this paper, we discuss how the media landscape is changing PSAs and the implications of these changes in the context of pandemics. © 2020 Taylor & Francis Group, LLC.",,,Article,"Final","",Scopus,2-s2.0-85094641773
"Massey P.M., Kearney M.D., Hauer M.K., Selvan P., Koku E., Leader A.E.","55234779900;57206140907;57211871996;57195062264;36466713600;8739491900;","Dimensions of misinformation about the HPV vaccine on instagram: Content and network analysis of social media characteristics",2020,"Journal of Medical Internet Research","22","12", e21451,"","",,,"10.2196/21451","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85097120668&doi=10.2196%2f21451&partnerID=40&md5=0671e305bb4d87375a6d38f9fda0d5d4","Department of Community Health and Prevention, Dornsife School of Public Health, Drexel University, Philadelphia, PA, United States; Division of Population Science, Department of Medical Oncology, Thomas Jefferson University, Philadelphia, PA, United States; Department of Sociology, College of Arts and Sciences, Drexel University, Philadelphia, PA, United States","Massey, P.M., Department of Community Health and Prevention, Dornsife School of Public Health, Drexel University, Philadelphia, PA, United States; Kearney, M.D., Department of Community Health and Prevention, Dornsife School of Public Health, Drexel University, Philadelphia, PA, United States; Hauer, M.K., Department of Community Health and Prevention, Dornsife School of Public Health, Drexel University, Philadelphia, PA, United States; Selvan, P., Division of Population Science, Department of Medical Oncology, Thomas Jefferson University, Philadelphia, PA, United States; Koku, E., Department of Sociology, College of Arts and Sciences, Drexel University, Philadelphia, PA, United States; Leader, A.E., Division of Population Science, Department of Medical Oncology, Thomas Jefferson University, Philadelphia, PA, United States","Background: The human papillomavirus (HPV) vaccine is a major advancement in cancer prevention and this primary prevention tool has the potential to reduce and eliminate HPV-associated cancers; however, the safety and efficacy of vaccines in general and the HPV vaccine specifically have come under attack, particularly through the spread of misinformation on social media. The popular social media platform Instagram represents a significant source of exposure to health (mis)information; 1 in 3 US adults use Instagram. Objective: The objective of this analysis was to characterize pro- and anti-HPV vaccine networks on Instagram, and to describe misinformation within the anti-HPV vaccine network. Methods: From April 2018 to December 2018, we collected publicly available English-language Instagram posts containing hashtags #HPV, #HPVVaccine, or #Gardasil using Netlytic software (n=16,607). We randomly selected 10% of the sample and content analyzed relevant posts (n=580) for text, image, and social media features as well as holistic attributes (eg, sentiments, personal stories). Among antivaccine posts, we organized elements of misinformation within four broad dimensions: 1) misinformation theoretical domains, 2) vaccine debate topics, 3) evidence base, and 4) health beliefs. We conducted univariate, bivariate, and network analyses on the subsample of posts to quantify the role and position of individual posts in the network. Results: Compared to provaccine posts (324/580, 55.9%), antivaccine posts (256/580, 44.1%) were more likely to originate from individuals (64.1% antivaccine vs 25.0% provaccine; P<.001) and include personal narratives (37.1% vs 25.6%; P=.003). In the antivaccine network, core misinformation characteristics included mentioning #Gardasil, purporting to reveal a lie (ie, concealment), conspiracy theories, unsubstantiated claims, and risk of vaccine injury. Information/resource posts clustered around misinformation domains including falsification, nanopublications, and vaccine-preventable disease, whereas personal narrative posts clustered around different domains of misinformation, including concealment, injury, and conspiracy theories. The most liked post (6634 likes) in our full subsample was a positive personal narrative post, created by a non-health individual; the most liked post (5604 likes) in our antivaccine subsample was an informational post created by a health individual. Conclusions: Identifying characteristics of misinformation related to HPV vaccine on social media will inform targeted interventions (eg, network opinion leaders) and help sow corrective information and stories tailored to different falsehoods. © 2020 Journal of Medical Internet Research. All rights reserved.","Cancer; Health communication; HPV; Human papillomavirus; Public health; Social media; Vaccination",,Article,"Final","",Scopus,2-s2.0-85097120668
"Clayton K., Blair S., Busam J.A., Forstner S., Glance J., Green G., Kawata A., Kovvuri A., Martin J., Morgan E., Sandhu M., Sang R., Scholz-Bright R., Welch A.T., Wolff A.G., Zhou A., Nyhan B.","57205763513;57205760566;57112496800;57205769364;57205768071;57205761943;57205764963;57205763299;57207023794;57205769967;57205760309;57205760227;57194594260;57205761148;57205764629;57205769277;35759060800;","Real Solutions for Fake News? Measuring the Effectiveness of General Warnings and Fact-Check Tags in Reducing Belief in False Stories on Social Media",2020,"Political Behavior","42","4",,"1073","1095",,29,"10.1007/s11109-019-09533-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061502088&doi=10.1007%2fs11109-019-09533-0&partnerID=40&md5=8454e4df888603d991fa2c56f142916a","Dartmouth College, Hanover, NH, United States; University of Michigan, Ann Arbor, MI, United States","Clayton, K., Dartmouth College, Hanover, NH, United States; Blair, S., Dartmouth College, Hanover, NH, United States; Busam, J.A., Dartmouth College, Hanover, NH, United States; Forstner, S., Dartmouth College, Hanover, NH, United States; Glance, J., Dartmouth College, Hanover, NH, United States; Green, G., Dartmouth College, Hanover, NH, United States; Kawata, A., Dartmouth College, Hanover, NH, United States; Kovvuri, A., Dartmouth College, Hanover, NH, United States; Martin, J., Dartmouth College, Hanover, NH, United States; Morgan, E., Dartmouth College, Hanover, NH, United States; Sandhu, M., Dartmouth College, Hanover, NH, United States; Sang, R., Dartmouth College, Hanover, NH, United States; Scholz-Bright, R., Dartmouth College, Hanover, NH, United States; Welch, A.T., Dartmouth College, Hanover, NH, United States; Wolff, A.G., Dartmouth College, Hanover, NH, United States; Zhou, A., Dartmouth College, Hanover, NH, United States; Nyhan, B., University of Michigan, Ann Arbor, MI, United States","Social media has increasingly enabled “fake news” to circulate widely, most notably during the 2016 U.S. presidential campaign. These intentionally false or misleading stories threaten the democratic goal of a well-informed electorate. This study evaluates the effectiveness of strategies that could be used by Facebook and other social media to counter false stories. Results from a pre-registered experiment indicate that false headlines are perceived as less accurate when people receive a general warning about misleading information on social media or when specific headlines are accompanied by a “Disputed” or “Rated false” tag. Though the magnitudes of these effects are relatively modest, they generally do not vary by whether headlines were congenial to respondents’ political views. In addition, we find that adding a “Rated false” tag to an article headline lowers its perceived accuracy more than adding a “Disputed” tag (Facebook’s original approach) relative to a control condition. Finally, though exposure to the “Disputed” or “Rated false” tags did not affect the perceived accuracy of unlabeled false or true headlines, exposure to a general warning decreased belief in the accuracy of true headlines, suggesting the need for further research into how to most effectively counter false news without distorting belief in true information. © 2019, Springer Science+Business Media, LLC, part of Springer Nature.","Corrections; Fact check; Fake news; Misperceptions; Social media; Warnings",,Article,"Final","",Scopus,2-s2.0-85061502088
"Beletsky L., Seymour S., Kang S., Siegel Z., Sinha M.S., Marino R., Dave A., Freifeld C.","15829089900;57218956229;57216709381;57218948957;57218951980;57218956792;57218949734;23570607100;","Fentanyl panic goes viral: The spread of misinformation about overdose risk from casual contact with fentanyl in mainstream and social media",2020,"International Journal of Drug Policy","86",, 102951,"","",,1,"10.1016/j.drugpo.2020.102951","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090884707&doi=10.1016%2fj.drugpo.2020.102951&partnerID=40&md5=35e9dd6b6256d7b1541a297591f3661f","Health in Justice Action Lab, School of Law and College of Health Sciences, Northeastern University, Boston, MA, United States; Harvard-MIT Center for Regulatory Science, Harvard Medical School, Cambridge, MA, United States; Division of Medical Toxicology, Department of Emergency Medicine, University Hospitals, Cleveland, OH, United States; Center for Civic Media, Massachusetts Institute of Technology, Cambridge, MA, United States; Khoury College of Computer Sciences, Northeastern University, Boston, MA, United States; Division of Infectious Disease and Global Public Health, UC San Diego School of Medicine, San DiegoCalifornia, United States; Center for Health Policy and Law, Northeastern University School of Law, Boston, MA, United States","Beletsky, L., Health in Justice Action Lab, School of Law and College of Health Sciences, Northeastern University, Boston, MA, United States, Division of Infectious Disease and Global Public Health, UC San Diego School of Medicine, San DiegoCalifornia, United States, Center for Health Policy and Law, Northeastern University School of Law, Boston, MA, United States; Seymour, S., Health in Justice Action Lab, School of Law and College of Health Sciences, Northeastern University, Boston, MA, United States; Kang, S., Health in Justice Action Lab, School of Law and College of Health Sciences, Northeastern University, Boston, MA, United States, Division of Infectious Disease and Global Public Health, UC San Diego School of Medicine, San DiegoCalifornia, United States; Siegel, Z., Health in Justice Action Lab, School of Law and College of Health Sciences, Northeastern University, Boston, MA, United States; Sinha, M.S., Harvard-MIT Center for Regulatory Science, Harvard Medical School, Cambridge, MA, United States, Center for Health Policy and Law, Northeastern University School of Law, Boston, MA, United States; Marino, R., Division of Medical Toxicology, Department of Emergency Medicine, University Hospitals, Cleveland, OH, United States; Dave, A., Center for Civic Media, Massachusetts Institute of Technology, Cambridge, MA, United States; Freifeld, C., Khoury College of Computer Sciences, Northeastern University, Boston, MA, United States","Background: Fueled by misinformation, fentanyl panic has harmed public health through complicating overdose rescue while rationalizing hyper-punitive criminal laws, wasteful expenditures, and proposals to curtail vital access to pain pharmacotherapy. To assess misinformation about health risk from casual contact with fentanyl, we characterize its diffusion and excess visibility in mainstream and social media. Methods: We used Media Cloud to compile and characterize mainstream and social media content published between January 2015 and September 2019 on overdose risk from casual fentanyl exposure. Results: Relevant content appeared in 551 news articles spanning 48 states. Misinformed media reports received approximately 450,000 Facebook shares, potentially reaching nearly 70,000,000 users from 2015-2019. Amplified by erroneous government statements, misinformation received excess social media visibility by a factor of 15 compared to corrective content, which garnered fewer than 30,000 shares with potential reach of 4,600,000 Facebook users. Conclusion: Health-related misinformation continues to proliferate online, hampering responses to public health crises. More evidence-informed tools are needed to effectively challenge misinformed narratives in mainstream and social media. © 2020","Fentanyl; Health misinformation; Law enforcement; Overdose","fentanyl; naloxone; Article; cloud computing; controlled study; drug exposure; health hazard; human; misinformation; occupational hazard; policy; priority journal; social media",Article,"Final","",Scopus,2-s2.0-85090884707
"Schneider J., Ye D., Hill A.M., Whitehorn A.S.","55482477800;57219399205;7403278958;57218606007;","Continued post-retraction citation of a fraudulent clinical trial report, 11 years after it was retracted for falsifying data",2020,"Scientometrics","125","3",,"2877","2913",,,"10.1007/s11192-020-03631-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092601632&doi=10.1007%2fs11192-020-03631-1&partnerID=40&md5=4f2f0b9f93bbd61e6184eb1a3a2d26e2","School of Information Sciences, University of Illinois at Urbana-Champaign, Champaign, IL, United States; Data Science Institute, Columbia University, New York, NY, United States; Department of Statistics, University of Illinois at Urbana-Champaign, Champaign, IL, United States; UniSA Clinical and Health Sciences, University of South Australia, Adelaide, SA  5000, Australia; UniSA Allied Health and Human Performance, University of South Australia, Adelaide, SA  5000, Australia; Joanna Briggs Institute, School of Population Health, University of Adelaide, Adelaide, SA  5000, Australia","Schneider, J., School of Information Sciences, University of Illinois at Urbana-Champaign, Champaign, IL, United States; Ye, D., Data Science Institute, Columbia University, New York, NY, United States, Department of Statistics, University of Illinois at Urbana-Champaign, Champaign, IL, United States; Hill, A.M., UniSA Clinical and Health Sciences, University of South Australia, Adelaide, SA  5000, Australia; Whitehorn, A.S., UniSA Allied Health and Human Performance, University of South Australia, Adelaide, SA  5000, Australia, Joanna Briggs Institute, School of Population Health, University of Adelaide, Adelaide, SA  5000, Australia","This paper presents a case study of long-term post-retraction citation to falsified clinical trial data (Matsuyama et al. in Chest 128(6):3817–3827, 2005. https://doi.org/10.1378/chest.128.6.3817), demonstrating problems with how the current digital library environment communicates retraction status. Eleven years after its retraction, the paper continues to be cited positively and uncritically to support a medical nutrition intervention, without mention of its 2008 retraction for falsifying data. To date no high quality clinical trials reporting on the efficacy of omega-3 fatty acids on reducing inflammatory markers have been published. Our paper uses network analysis, citation context analysis, and retraction status visibility analysis to illustrate the potential for extended propagation of misinformation over a citation network, updating and extending a case study of the first 6 years of post-retraction citation (Fulton et al. in Publications 3(1):7–26, 2015. https://doi.org/10.3390/publications3010017). The current study covers 148 direct citations from 2006 through 2019 and their 2542 second-generation citations and assesses retraction status visibility of the case study paper and its retraction notice on 12 digital platforms as of 2020. The retraction is not mentioned in 96% (107/112) of direct post-retraction citations for which we were able to conduct citation context analysis. Over 41% (44/107) of direct post-retraction citations that do not mention the retraction describe the case study paper in detail, giving a risk of diffusing misinformation from the case paper. We analyze 152 second-generation citations to the most recent 35 direct citations (2010–2019) that do not mention the retraction but do mention methods or results of the case paper, finding 23 possible diffusions of misinformation from these non-direct citations to the case paper. Link resolving errors from databases show a significant challenge in a reader reaching the retraction notice via a database search. Only 1/8 databases (and 1/9 database records) consistently resolved the retraction notice to its full-text correctly in our tests. Although limited to evaluation of a single case (N = 1), this work demonstrates how retracted research can continue to spread and how the current information environment contributes to this problem. © 2020, The Author(s).","Case study; Citation context analysis; Diffusion studies; Link resolver errors; Misinformation; Post-retraction citation; Problematic citation; Problems with bibliographic libraries; Retraction",,Article,"Final","",Scopus,2-s2.0-85092601632
"Wilson L., Lusk J.L.","57217848577;7004997535;","Consumer willingness to pay for redundant food labels",2020,"Food Policy","97",, 101938,"","",,1,"10.1016/j.foodpol.2020.101938","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85087733212&doi=10.1016%2fj.foodpol.2020.101938&partnerID=40&md5=61477ec35b59d45b3065310178db55bc","Department of Agricultural Economics, Purdue University, 403 W. State Street, W. Lafayette, IN  47907, United States","Wilson, L., Department of Agricultural Economics, Purdue University, 403 W. State Street, W. Lafayette, IN  47907, United States; Lusk, J.L., Department of Agricultural Economics, Purdue University, 403 W. State Street, W. Lafayette, IN  47907, United States","Previous studies, as well as market sales data, show some consumers are willing to pay a premium for redundant or superfluous food labels that carry no additional information for the informed consumer. Some advocacy groups have argued that the use of such redundant labels is misleading or unethical. To determine whether premiums for redundant labels stem from misunderstanding or other factors, this study seeks to determine whether greater knowledge of the claims - in the form of expertise in food production and scientific literacy - decreases willingness to pay for redundant labels. We also explore whether de-biasing information influences consumers’ valuations of redundant labels. An online survey of 1122 U.S. consumers elicited preferences for three redundantly labeled products: non-GMO sea salt, gluten-free orange juice, and no-hormone-added chicken breast. Respondents with farm experience report lower premiums for non-GMO salt and no-hormone-added chicken. Those with higher scientific literacy state lower premiums for gluten-free orange juice. However, after providing information about the redundancy of the claims, less than half of respondents who were initially willing to pay extra for the label are convinced otherwise. Over 30% of respondents counter-intuitively increase their premiums, behavior that is associated with less a priori scientific knowledge. The likelihood of “overpricing” redundant labels is associated with willingness-to-pay premiums for organic food, suggesting at least some of the premium for organic is a result of misinformation. © 2020 Elsevier Ltd","De-bias; Gluten-free; GMO; Hormone; Labelling; Organic; Scientific literacy","Citrus sinensis; Gallus gallus",Article,"Final","",Scopus,2-s2.0-85087733212
"Ng C.W.Q., Lim J.N.W., Liu J., Hartman M.","56191060500;9633575500;55536859300;22234057900;","Presentation of breast cancer, help seeking behaviour and experience of patients in their cancer journey in Singapore: a qualitative study",2020,"BMC Cancer","20","1", 1080,"","",,,"10.1186/s12885-020-07585-8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095705945&doi=10.1186%2fs12885-020-07585-8&partnerID=40&md5=be17423374f9f88a1f4414160d5cf7f4","Department of Surgery, National University Health System, 1E Kent Ride Road, Tower Block, University Surgical Cluster, Level 8, Singapore City, 119228, Singapore; Institure of Health, Faculty of Education, Health, and Wellbeing, University of Wolverhampton, Wulfruna Street, Wolverhampton, WV1 1LY, United Kingdom; Saw Swee Hock School of Public Health, National University of Singapore, Block MD6, 16 Medical Drive, Singapore City, 117597, Singapore","Ng, C.W.Q., Department of Surgery, National University Health System, 1E Kent Ride Road, Tower Block, University Surgical Cluster, Level 8, Singapore City, 119228, Singapore; Lim, J.N.W., Institure of Health, Faculty of Education, Health, and Wellbeing, University of Wolverhampton, Wulfruna Street, Wolverhampton, WV1 1LY, United Kingdom; Liu, J., Saw Swee Hock School of Public Health, National University of Singapore, Block MD6, 16 Medical Drive, Singapore City, 117597, Singapore; Hartman, M., Department of Surgery, National University Health System, 1E Kent Ride Road, Tower Block, University Surgical Cluster, Level 8, Singapore City, 119228, Singapore, Saw Swee Hock School of Public Health, National University of Singapore, Block MD6, 16 Medical Drive, Singapore City, 117597, Singapore","Background: Little is known about the presentation, help seeking behaviour for breast cancer in Singapore. Nor was there a study exploring the experience of patients in their breast cancer journey. Methods: A qualitative interview study with thematic analysis, conducted with 36 patients. Results: There is no clear pattern of presentation for breast cancer by cancer stage at diagnosis, age and ethnicity in the cancer journey of this group of patients. Patients were diagnosed with early to advanced stages cancer regardless of when they presented or took up treatment in their cancer journey. The reasons patients sought medical attention also did not appear to differ between the stages of cancer diagnosed, ethnic and age. Without setting a measure to define early and late presentation, we found that women shared similar experience in their breast cancer journey, regardless of age, ethnicity and stage of cancer at diagnosis. Poor knowledge of breast cancer (symptoms and causes); few practised regular BSE; denial of symptom; fear of hospitalisation, diagnosis and treatment; worries and stress over financial burden of treatment; misinformation in magazine and online sources; diet; stress; caring responsibility; support network; and use of alternative medicine before and after diagnosis were identified in patients’ narratives. Strong social support; fear of being an emotional and financial burden for the family; and financial worries during treatment were also the recurring themes after diagnosis. Conclusion: A measure of breast cancer presentation - that accounts for the patient’s experience in the cancer journey, the time interval and tumour biology – that is meaningful to patients, clinicians and researchers is needed. For research on late and delayed presentation, details on BSE practice – how often, when and was it done correctly – will improve the accuracy of time delay interval. For the public, concerted efforts to improve knowledge of breast cancer, survival and prognosis for early-diagnosed cancer, and the importance of regular and correct technique to perform BSE, are critical and urgent to address the rising breast cancer incidence in the country. © 2020, The Author(s).","Cancer journey; Experience; Help seeking behaviour; Presentation of breast cancer; Qualitative study; Singapore",,Article,"Final","",Scopus,2-s2.0-85095705945
"Rassay S., Ramezani M., Shomaji S., Bhunia S., Tabrizian R.","57193855175;57201530440;56495517900;7003286155;35204034400;","Clandestine nanoelectromechanical tags for identification and authentication",2020,"Microsystems and Nanoengineering","6","1", 103,"","",,,"10.1038/s41378-020-00213-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096904099&doi=10.1038%2fs41378-020-00213-2&partnerID=40&md5=a08b47f80f49bd989e072ed5f4544356","Electrical and Computer Engineering Department, University of Florida, Gainesville, FL  32611, United States","Rassay, S., Electrical and Computer Engineering Department, University of Florida, Gainesville, FL  32611, United States; Ramezani, M., Electrical and Computer Engineering Department, University of Florida, Gainesville, FL  32611, United States; Shomaji, S., Electrical and Computer Engineering Department, University of Florida, Gainesville, FL  32611, United States; Bhunia, S., Electrical and Computer Engineering Department, University of Florida, Gainesville, FL  32611, United States; Tabrizian, R., Electrical and Computer Engineering Department, University of Florida, Gainesville, FL  32611, United States","The realization of truly unclonable identification and authentication tags is the key factor in protecting the global economy from an ever-increasing number of counterfeit attacks. Here, we report on the demonstration of nanoscale tags that exploit the electromechanical spectral signature as a fingerprint that is characterized by inherent randomness in fabrication processing. Benefiting from their ultraminiaturized size and transparent constituents, these clandestine nanoelectromechanical tags provide substantial immunity to physical tampering and cloning. Adaptive algorithms are developed for digital translation of the spectral signature into binary fingerprints. A large set of tags fabricated in the same batch is used to estimate the entropy of the corresponding fingerprints with high accuracy. The tags are also examined under repetitive measurements and temperature variations to verify the consistency of the fingerprints. These experiments highlight the potential of clandestine nanoelectromechanical tags for the realization of secure identification and authentication methodologies applicable to a wide range of products and consumer goods. © 2020, The Author(s).",,"Adaptive algorithms; Authentication; Clone cells; Authentication tags; Binary fingerprints; Consumer Goods; Counterfeit attack; Global economies; Nano-electromechanical; Spectral signature; Temperature variation; Cryptography",Article,"Final","",Scopus,2-s2.0-85096904099
"Liu P.L., Huang L.V.","57192065021;57188808735;","Digital Disinformation about COVID-19 and the Third-Person Effect: Examining the Channel Differences and Negative Emotional Outcomes",2020,"Cyberpsychology, Behavior, and Social Networking","23","11",,"789","793",,2,"10.1089/cyber.2020.0363","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85095946416&doi=10.1089%2fcyber.2020.0363&partnerID=40&md5=a7fceb73f4cf8c9cc7542bc14a128726","Department of Communications and New Media, National University of Singapore, Singapore, Singapore; Department of Communication Studies, Hong Kong Baptist University, Hong Kong, Hong Kong","Liu, P.L., Department of Communications and New Media, National University of Singapore, Singapore, Singapore; Huang, L.V., Department of Communication Studies, Hong Kong Baptist University, Hong Kong, Hong Kong","Expanding third-person effect (TPE) research to digital disinformation, this article investigates the impact of COVID-19 digital fake news exposure on individuals' perceived susceptibility of influence on themselves, their close others, and their distant others. Findings from a survey of 511 Chinese respondents suggest that, overall, individuals would perceive themselves to be less vulnerable than close others and distant others to the impact of COVID-19 digital disinformation. The highest self-other perceptual discrepancy is found when individuals receive disinformation on mobile social networking apps. Also, individuals who practice more active fact-checking perceive themselves to be less susceptible. The perception of disinformation effects on self as well as the self-other perceptual discrepancy is both positively related to emotional responses (anxiety, fear, and worry) to the COVID-19 pandemic. This study contributes to existing research by linking exposure to disinformation in different digital channels, the TPEs, and emotional outcomes in the context of a public health crisis. It also highlights the importance of educating and enabling fact-checking behaviors on digital media, which could help to reduce negative emotional impact of the disinformation. © 2020, Mary Ann Liebert, Inc., publishers.","digital disinformation; fact-checking; negative emotions; third-person effect","Coronavirus infection; deception; human; Internet; pandemic; questionnaire; social media; social network; virus pneumonia; Coronavirus Infections; Deception; Humans; Internet; Pandemics; Pneumonia, Viral; Social Media; Social Networking; Surveys and Questionnaires",Article,"Final","",Scopus,2-s2.0-85095946416
"Bruns A., Harrington S., Hurcombe E.","12140649100;25027354900;57205094569;","‘Corona? 5G? or both?’: the dynamics of COVID-19/5G conspiracy theories on Facebook",2020,"Media International Australia","177","1",,"12","29",,2,"10.1177/1329878X20946113","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088994135&doi=10.1177%2f1329878X20946113&partnerID=40&md5=09cd41bd1f96f4dd785fbf010dcc7aff","Queensland University of Technology, Australia","Bruns, A., Queensland University of Technology, Australia; Harrington, S., Queensland University of Technology, Australia; Hurcombe, E., Queensland University of Technology, Australia","Focussing in detail on one key component of the infodemic surrounding COVID-19, this article traces the dissemination dynamics of rumours that the pandemic outbreak was somehow related to the rollout of 5G mobile telephony technology in Wuhan and around the world. Drawing on a mixture of quantitative and qualitative methods including time-series analysis, network analysis and in-depth close reading, our analysis shows the dissemination of the rumour on Facebook from its obscure origins in pre-existing conspiracist groups through greater uptake in more diverse communities to substantial amplification by celebrities, sports stars and media outlets. The in-depth tracing of COVID-related mis- and disinformation across social networks offers important new insights into the dynamics of online information dissemination and points to opportunities to slow and stop the spread of false information, or at least to combat it more directly with accurate counterinformation. © The Author(s) 2020.","5G; conspiracy theory; coronavirus; COVID-19; disinformation; dissemination; Facebook; misinformation; rumours; social media",,Article,"Final","",Scopus,2-s2.0-85088994135
